operation,response resource,attribute,group,description,tp
get-/api/v1/provinces/{provinceid},Holiday,observedDate,province.nextHoliday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,observedDate,province.holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/holidays,Province,sourceLink,holidays.provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/api/v1/holidays,Holiday,nameEn,holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/holidays,Holiday,id,holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/provinces/{provinceid},Province,optional,province.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/holidays/{holidayid},Holiday,federal,holiday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/provinces,Holiday,optional,provinces.nextHoliday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/provinces,Holiday,optional,provinces.holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/holidays,Holiday,nameFr,holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/holidays,Province,nameEn,holidays.provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0
get-/api/v1/holidays/{holidayid},Holiday,observedDate,holiday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces,Province,sourceLink,provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/api/v1/holidays/{holidayid},Holiday,date,holiday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,optional,province.nextHoliday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/provinces/{provinceid},Holiday,optional,province.holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/provinces/{provinceid},Province,id,province.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get-/api/v1/holidays,Province,optional,holidays.provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/holidays/{holidayid},Holiday,id,holiday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/holidays,Holiday,date,holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/holidays/{holidayid},Holiday,optional,holiday.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/holidays/{holidayid},Holiday,nameFr,holiday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/holidays/{holidayid},Holiday,nameEn,holiday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/holidays/{holidayid},Province,nameEn,holiday.provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0
get-/api/v1/holidays/{holidayid},Province,optional,holiday.provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/holidays,Holiday,federal,holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/provinces,Holiday,nameFr,provinces.nextHoliday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/provinces,Holiday,nameFr,provinces.holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/holidays/{holidayid},Province,id,holiday.provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get-/api/v1/provinces,Holiday,nameEn,provinces.nextHoliday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/provinces,Holiday,nameEn,provinces.holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/provinces,Province,nameEn,provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0
get-/api/v1/holidays,Province,id,holidays.provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get-/api/v1/provinces,Province,optional,provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/provinces,Holiday,id,provinces.nextHoliday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/provinces,Holiday,id,provinces.holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/provinces/{provinceid},Province,sourceLink,province.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/api/v1/provinces/{provinceid},Holiday,nameFr,province.nextHoliday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/provinces/{provinceid},Holiday,nameFr,province.holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0
get-/api/v1/provinces,Province,id,provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1
get-/api/v1/provinces/{provinceid},Province,nameEn,province.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0
get-/api/v1/holidays,Holiday,observedDate,holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,date,province.nextHoliday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,date,province.holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces,Holiday,federal,provinces.nextHoliday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/provinces,Holiday,federal,provinces.holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/holidays,Holiday,optional,holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1
get-/api/v1/provinces/{provinceid},Holiday,nameEn,province.nextHoliday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/provinces/{provinceid},Holiday,nameEn,province.holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0
get-/api/v1/provinces,Holiday,observedDate,provinces.nextHoliday.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces,Holiday,observedDate,provinces.holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,federal,province.nextHoliday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/provinces/{provinceid},Holiday,federal,province.holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1
get-/api/v1/provinces,Holiday,date,provinces.nextHoliday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces,Holiday,date,provinces.holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1
get-/api/v1/provinces/{provinceid},Holiday,id,province.nextHoliday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/provinces/{provinceid},Holiday,id,province.holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1
get-/api/v1/holidays/{holidayid},Province,sourceLink,holiday.provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1
